RE,CuttedSeqs
BspDI,56384
BseCI,56384
Bsa29I,56384
Bsu15I,56384
BshVI,56384
BsuTUI,56384
ClaI,56384
Hso63250IV,56311
SnaBI,56280
Eco105I,56280
BstSNI,56280
RceI,56274
SciI,56251
XhoI,56251
SlaI,56251
PaeR7I,56251
Sfr274I,56251
PfoI,56240
AjiI,56163
BtrI,56163
BmgBI,56163
Asu14238IV,56118
BfrI,56090
Vha464I,56090
MspCI,56090
BspTI,56090
BstAFI,56090
AflII,56090
PasI,56089
Cbo67071IV,56073
Sna507VIII,56000
Bse21I,55942
AxyI,55942
Eco81I,55942
Bsu36I,55942
SauI,55942
SmaUMH8I,55877
BbvCI,55847
EagI,55841
XmaIII,55841
EclXI,55841
BseX3I,55841
Eco52I,55841
BstZI,55841
AarI,55743
TaqII,55615
PspLI,55589
SplI,55589
BsiWI,55589
Pfl23II,55589
PliMI,55510
NmeA6CIII,55363
PvuII,55262
Eco47III,55186
AfeI,55186
Aor51HI,55186
PsyI,55180
Tth111I,55180
PflFI,55180
AleI,55068
OliI,55068
Aod1I,55022
PdiI,55016
NaeI,55016
MroNI,55016
MspGI,55016
NgoMIV,55016
KroI,55016
ApyPI,54781
MssI,54736
PmeI,54736
RspPBTS2III,54648
AsuNHI,54543
NheI,54543
BmtI,54543
BspOI,54543
AspDUT2V,54203
PaeI,54003
SphI,54003
Sno506I,53807
Jma19592II,52995
BamHI,52445
MtuHN878II,52231
BpiI,52128
BbvII,52128
BbsI,52128
BstV2I,52128
SanDI,51234
KflI,51234
BstX2I,50979
MflI,50979
BstYI,50979
PsuI,50979
XhoII,50979
AhyRBAHI,50631
PciI,50183
BspLU11I,50183
PscI,50183
VneI,13755
ApaLI,13755
Alw44I,13755
BsrGI,7781
Bsp1407I,7781
BstAUI,7781
Abr4036II,4608
XcmI,4207
PspEI,3707
BstPI,3707
Eco91I,3707
BstEII,3707
EcoO65I,3707
BsmBI,3206
Esp3I,3206
BsaBI,2742
BseJI,2742
Bse8I,2742
HspMHR1II,2432
SapI,2262
LguI,2262
PciSI,2262
BspQI,2262
Psp1406I,1393
AclI,1393
KpnI,1335
Acc65I,1335
Asp718I,1335
Psp124BI,1172
Ecl136II,1172
SstI,1172
EcoICRI,1172
SacI,1172
Eco53kI,1172
SgrAII,1074
SalI,1055
HbaII,1009
CaiI,1007
CcrNAIII,1007
PstNI,1007
AlwNI,1007
Acc65V,992
GdiII,973
PfrJS12V,903
HgiEII,879
AccBSI,787
BsrBI,787
MbiI,787
UbaF12I,697
RpaBI,590
BglI,560
PpiP13II,513
AquII,511
NsbI,501
MstI,501
Acc16I,501
FspI,501
PspOMII,487
BkrAM31DI,437
MabI,408
SexAI,408
CsiI,408
TssI,373
BglII,301
PacI,256
UbaF13I,251
DinI,229
KasI,229
EheI,229
Mly113I,229
AccB7I,229
EgeI,229
Van91I,229
SspDI,229
SfoI,229
PflMI,229
PluTI,229
SstE37I,229
NarI,229
PstI,226
BspMAI,226
AspJHL3II,221
BspGI,208
BtuMI,206
NruI,206
RruI,206
Bsp68I,206
MspSC27II,205
SspJOR1II,201
ZraI,178
AatII,178
AdeI,169
DraIII,169
SpoDI,162
AasI,151
DrdI,151
DseDI,151
UbaPI,139
Bag18758I,128
Ecl35734I,122
SgrAI,106
Pdi8503III,105
Ssp714II,103
Cma23826I,102
RpaB5I,99
Pse18267I,94
Hpy99I,80
Cfr9I,79
XmaI,79
SmaI,79
TspMI,79
Sse8647I,79
Eco72I,64
PmlI,64
BbrPI,64
PmaCI,64
PspCI,64
AcvI,64
PspXI,63
AgeI,61
AsiGI,61
BshTI,61
CspAI,61
PinAI,61
BmeRI,61
AhdI,61
DriI,61
Eam1105I,61
Kor51II,57
BstAPI,54
ApaBI,54
Ple19I,53
PvuI,53
Lmo370I,50
PshAI,36
BstPAI,36
BoxI,36
BssHII,25
Pst273I,25
McaTI,25
PauI,25
PteI,25
BsePI,25
Cfr42I,22
SacII,22
KspI,22
SgrBI,22
Sfr303I,22
Bsp460III,21
HdeNY26I,18
SfiI,16
TspARh3I,14
GauT27I,14
Rsr2I,11
CpoI,11
Sth20745III,11
CspI,11
RsrII,11
SrfI,10
NcoI,9
Bsp19I,9
PcaII,6
MluI,5
AflIII,5
AlwFI,4
CdpI,3
Mcr10I,3
NsiI,2
UbaF14I,2
MspI7IV,2
Rsp008IV,2
Cdi11397I,2
Ppu10I,2
Mph1103I,2
AvaIII,2
EcoT22I,2
Zsp2I,2
Jma19592I,2
RflFIII,2
BstMCI,2
BsiEI,2
AchA6III,2
McrI,2
Bsh1285I,2
NpeUS61II,2
XbaI,1
HpaI,1
Bsp13I,1
MroI,1
BspMII,1
KspAI,1
Kpn2I,1
FseI,1
RigI,1
EcoRV,1
Eco32I,1
RgaI,1
SfaAI,1
SgfI,1
BspEI,1
Aor13HI,1
AccIII,1
SnaI,1
BseAI,1
LsaDS4I,1
BstZ17I,1
Bst1107I,1
Aba6411II,1
Ecl234I,1
Psp5II,1
MaqI,1
Nal45188II,1
PpuMI,1
PspPPI,1
BssNAI,1
AsiSI,1
